OLD_CODE;NEW_CODE
alfa-13-x-r-der;alfamax_mod_13_x_r_der
d-p-350;pnevmaticheskaya_vintovka_diana_panther_350_magnum
d-350-mcc;pnevmaticheskaya_vintovka_diana_350_magnum_classic_compact
d-430-st-T06;pnevmaticheskaya_vintovka_diana_430_stutzen
d-54-air;pnevmaticheskaya_vintovka_diana_54_airking
d-31-T06;pnevmaticheskaya_vintovka_diana_31_panther_compact
d-31-pp-T06;pnevmaticheskaya_vintovka_diana_31_panther_professional
cyb_sig_s_2022_m;pnevmaticheskiy_pistolet_cybergun_sig_sauer_sp_2022_metall
d-31-pp-cop;pnevmaticheskaya_vintovka_diana_31_panther_professional_compact
d-pan-21;pnevmaticheskaya_vintovka_diana_panther_21_military_green
no-at-te-b;pnevmaticheskaya_vintovka_norica_atlantic_tekno_basic
c-r-r1k77pg;crosman_rem_genesis_r1k77pg
g-r1k77pgx;crosman_rem_genesis_r1k77pgx_pritsel_3_9kh40
no-dr-ca;pnevmaticheskaya_vintovka_norica_dragon_camo
nor-gol-88;pnevmaticheskaya_vintovka_norica_goliath_88
nor-go-88;pnevmaticheskaya_vintovka_norica_goliath_88_desert
n-g-88-sco;pnevmaticheskaya_vintovka_norica_goliath_88_scope
n-g-88-sti;pnevmaticheskaya_vintovka_norica_goliath_88_sting
asg_dan_8_d;pnevmaticheskiy_pistolet_asg_dan_wesson_8_dyuymov
n-n-red;pnevmaticheskaya_vintovka_norica_interpid_red_scope
nor-inte-sil;pnevmaticheskaya_vintovka_norica_interpid_silver
cros-2100-b;crosman_2100_b_pritsel_4x15
nor-int-sil;pnevmaticheskaya_vintovka_norica_interpid_silver_scope
nor-ntre-red;pnevmaticheskaya_vintovka_norica_intrepid_red
air_arm_s510_exslb;vintovka_pnevmaticheskaya_air_arms_s_510_extra_sl_k_4_5mm_rb_priklad_iz_buka
air_arm_s510_exslo;vintovka_pnevmaticheskaya_air_arms_s_510_extra_sl_k_4_5_mm_rw_priklad_iz_orekha
nor-mas;pnevmaticheskaya_vintovka_norica_massimo
nor-trib;pnevmaticheskaya_vintovka_norica_tribal
nor-dra-spe;pnevmaticheskaya_vintovka_norica_dragon_special
nor-kron;pnevmaticheskaya_vintovka_norica_krono
nor-tita;pnevmaticheskaya_vintovka_norica_titan
nor-mar;pnevmaticheskaya_vintovka_norica_marvic_gold
nor-stor;pnevmaticheskaya_vintovka_norica_storm
nor-qui;pnevmaticheskaya_vintovka_norica_quick
nor-mar-st;pnevmaticheskaya_vintovka_norica_marvic_style
nor-atl-bas;pnevmaticheskaya_vintovka_norica_atlantic_basic
nor-atl-sc;pnevmaticheskaya_vintovka_norica_atlantic_scope
Cros-Sum;crosman_rem_summit_rw1k77x_pritsel_3_9kh40
nor-atl-sti;pnevmaticheskaya_vintovka_norica_atlantic_sting
cros-664-sb;crosman_664_sb_pritsel_4kh15
nor-dra;pnevmaticheskaya_vintovka_norica_dragon
nor-dre-hu;pnevmaticheskaya_vintovka_norica_dream_hunter
nor-dre-rid;pnevmaticheskaya_vintovka_norica_dream_rider
nor-56;pnevmaticheskaya_vintovka_norica_56
sm-r4;pnevmaticheskaya_vintovka_smersh_r4
c-c1k77-q-1000;crosman_c1k77_quest_1000
c-c1k77x-q-1000;crosman_c1k77x_quest_1000
cr-8-rnp77xm;crosman_rem_npss_8_rnp77xm
g-s-dx-bar;gamo_shadow_dx_barricade
g-s-dx-rsv;gamo_shadow_dx_rsv
g-s-dx-tact;gamo_shadow_dx_tactical
g-b-sha-igt;gamo_black_shadow_igt
cr-2100-b;crosman_2100_b
um-walt-lgv;pnevmaticheskaya_vintovka_umarex_walther_lgv_challenger
um-h-h-600;pnevmaticheskaya_vintovka_umarex_hammerli_hunter_force_600_combo
