ID;CODE
3003;napalchnik_traditsionnyy_zamsha_l
3005;strela_luchnaya_fiberglasovaya_28
3009;strela_luchnaya_fiberglasovaya_30
3015;strela_luchnaya_karbonovaya_30
3029;hatsan_at44_pa
3030;hatsan_torpedo_100x
3035;hatsan_torpedo_105x_camo
3044;hatsan_torpedo_105x_mw
3052;hatsan_torpedo_150_camo
3053;alfamax_mod_14_th_od
3054;hatsan_torpedo_150_th_camo
3055;hatsan_torpedo_150_th_mw
3056;hatsan_85_camo
3059;vosk_dlya_tetivy
3088;nakonechnik_ultimate_steel_125_grn_3_sht
3091;kraga-plastik-b10004a
3092;kraga_1_plastik
3094;kraga_okhotnichya_33_sm_kozha
3096;kraga_okhotnichya_19_sm_zamsha
3097;napalchnik_traditsionnyy_kozha
3098;napalchnik_traditsionnyy_zamsha_m
3100;pnevmaticheskaya_vintovka_diana_240_classic
3103;pnevmaticheskaya_vintovka_diana_28
3104;pnevmaticheskaya_vintovka_diana_34_classic
3105;alfamax_mod_6_mw
3106;alfamax_mod_6_camo
3107;alfamax_mod_12_darkgrey
3108;alfamax_mod_12_orange
3109;pnevmaticheskaya_vintovka_diana_panther_350_magnum_compact
3110;pnevmaticheskaya_vintovka_diana_panther_350_magnum_professional_compact
3111;pnevmaticheskaya_vintovka_diana_34_premium
3112;pnevmaticheskaya_vintovka_diana_280_classic
3114;pnevmaticheskaya_vintovka_diana_34_classic_compact
3115;opticheskiy_pritsel_walther_rs55_4x32_ci_spets_kreplenie_monolit_shkala_kr_podsvetka
3116;pritsel_kollimatornyy_walther_nano_point_otkrytogo_tipa
3117;pritsel_kollimatornyy_walther_point_sight_ps22_zakrytogo_tipa
3118;opticheskiy_pritsel_leapers_bugbuster_6x32ao_compact_c_podsvetkoy_25_4_mm_scp_m632aolwq_koltsa_v_kom
3119;opticheskiy_pritsel_leapers_4x32_full_size_mil_dot_s_koltsami_picatinny_scp_u432fw_koltsa_v_komplekt
3120;opticheskiy_pritsel_leapers_golden_image_4x32_mil_dot_scp_432aomdts_koltsa_v_komplekte
3121;binokl_veber_10x42_wp_silver_line
3122;binokl_veber_20x60
3123;opticheskiy_pritsel_leapers_bug_buster_4x32_ao_compact_25_4_mm_s_podsvetkoy_kr_zel_mil_dot_scp_432ao
3124;pnevmaticheskaya_vintovka_diana_34_classic_professional
3125;opticheskiy_pritsel_gamo_md_3_9kh40_ao
3126;opticheskiy_pritsel_gamo_md_4_12kh44_ao
3127;opticheskiy_pritsel_gamo_md_4_16kh50_ao
3128;opticheskiy_pritsel_gamo_md_6_24kh50_ao
3129;opticheskiy_pritsel_umarex_3_7kh20
3130;opticheskiy_pritsel_umarex_4kh15
3131;pnevmaticheskaya_vintovka_diana_350_panther_magnum_professional
3132;opticheskiy_pritsel_umarex_4kh20_s_vysokim_krepleniem
